"SampleID"	"PatientID"	"CellType"
"Ovarian-2_PC-3"	"Ovarian-2"	"PC-3"
"Ovarian-2_CM1_CD4+_T"	"Ovarian-2"	"CM1_CD4+_T"
"Ovarian-2_CM2_CD4+_T"	"Ovarian-2"	"CM2_CD4+_T"
"Ovarian-2_EM_CD8+_T"	"Ovarian-2"	"EM_CD8+_T"
"Ovarian-2_CM_T"	"Ovarian-2"	"CM_T"
"Ovarian-2_Treg"	"Ovarian-2"	"Treg"
"Ovarian-2_vSMCs"	"Ovarian-2"	"vSMCs"
"Renal-Cell-Carcinoma_Astrocytes"	"Renal-Cell-Carcinoma"	"Astrocytes"
"Renal-Cell-Carcinoma_B-c1"	"Renal-Cell-Carcinoma"	"B-c1"
"Renal-Cell-Carcinoma_CD1C+/CLEC10A+_cDC2"	"Renal-Cell-Carcinoma"	"CD1C+/CLEC10A+_cDC2"
"Renal-Cell-Carcinoma_EC-1"	"Renal-Cell-Carcinoma"	"EC-1"
"Renal-Cell-Carcinoma_EC-2"	"Renal-Cell-Carcinoma"	"EC-2"
"Renal-Cell-Carcinoma_EC-3"	"Renal-Cell-Carcinoma"	"EC-3"
"Renal-Cell-Carcinoma_APOE+_MAMs"	"Renal-Cell-Carcinoma"	"APOE+_MAMs"
"Renal-Cell-Carcinoma_S100A8+_MAMs"	"Renal-Cell-Carcinoma"	"S100A8+_MAMs"
"Renal-Cell-Carcinoma_MSC-like-c1"	"Renal-Cell-Carcinoma"	"MSC-like-c1"
"Renal-Cell-Carcinoma_MSC-like-c2"	"Renal-Cell-Carcinoma"	"MSC-like-c2"
"Renal-Cell-Carcinoma_MTC"	"Renal-Cell-Carcinoma"	"MTC"
"Renal-Cell-Carcinoma_PC-1"	"Renal-Cell-Carcinoma"	"PC-1"
"Renal-Cell-Carcinoma_PC-2"	"Renal-Cell-Carcinoma"	"PC-2"
"Renal-Cell-Carcinoma_PC-3"	"Renal-Cell-Carcinoma"	"PC-3"
"Renal-Cell-Carcinoma_CM1_CD4+_T"	"Renal-Cell-Carcinoma"	"CM1_CD4+_T"
"Renal-Cell-Carcinoma_EM_CD8+_T"	"Renal-Cell-Carcinoma"	"EM_CD8+_T"
"Renal-Cell-Carcinoma_Treg"	"Renal-Cell-Carcinoma"	"Treg"
"Renal-Cell-Carcinoma_vSMCs"	"Renal-Cell-Carcinoma"	"vSMCs"
"Unknown-carc_Astrocytes"	"Unknown-carc"	"Astrocytes"
"Unknown-carc_B-c1"	"Unknown-carc"	"B-c1"
"Unknown-carc_B-c2"	"Unknown-carc"	"B-c2"
"Unknown-carc_CD1C+/CLEC10A+_cDC2"	"Unknown-carc"	"CD1C+/CLEC10A+_cDC2"
"Unknown-carc_EC-1"	"Unknown-carc"	"EC-1"
"Unknown-carc_EC-2"	"Unknown-carc"	"EC-2"
