""	"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717_Tumor"
"C5ORF34"	1.03735115003241	1.04929940516981	1.02220244700479	1	1.03596765929378	1.00589220926999	1	1.037435390151
"C1QTNF4"	1.01875136121762	1.09681600519845	1.01112820232173	1.05221763352791	1.01685497062426	1.00294802018497	1	1.00632395380657
"NEGR1"	1	1.10303066136935	1	1	1.01712150974231	1	1	1
"ZNF131"	1.1460323089802	1.48489542840746	1.09829883846091	1.05221763352791	1.25016741980581	1.13472527150669	1.25113804232749	1.2634565942903
"MACROD2"	1.01875136121762	1.03138435667047	1.01112820232173	1	1.03093929348099	1.00589220926999	1	1.00354358792657
"DPAGT1"	1.1282446733515	1.09681600519845	1.08757362490966	1.12846853151883	1.09084727255191	1.1375131750011	1.19933220223607	1.1125110387331
"BSG"	1.57373525443911	3.06812442651102	1.88555490783844	3.36669779589258	3.83174299187379	2.09293667171264	7.98338934608045	5.28532924363413
"HINFP"	1.01875136121762	1.10147845333061	1.07680138183895	1.05221763352791	1.08282399059746	1.04672005470974	1.09259917994258	1.06764699768787
"CERS6"	1.11033200844589	1.1856659720312	1.05511221275439	1	1.17670959578919	1.14307993116031	1.01881503832228	1.18258539978919
"COPRS"	1.44825147983232	2.22585511327481	1.28417703091206	1.54679364397405	1.58207578063312	1.34402809095304	1.36850569452915	1.6210350237044
"TP53RK"	1.1282446733515	1.15809583820811	1.11961159828863	1.17805395916684	1.15739921974295	1.11793360464775	1.16423882068994	1.21809902412379
"B3GALT1"	1	1.03657387552718	1	1	1.03940190204198	1	1.01881503832228	1.02894638069089
"CLEC12A"	1.05580445098926	1	1.26413504164515	1	1.00026851828939	1.06687086859881	1	1.00075980771031
"BPGM"	1.11033200844589	1.34059415750073	1.14074623609832	1.12846853151883	1.30939390746715	1.0783102129503	1.46565824968577	1.20343591419919
"POP7"	1.35089457080717	2.08863515421184	1.24395138030419	1.4361654160565	1.90630283084683	1.31019439924681	1.36850569452915	1.67282894822681
"ALG14"	1.05580445098926	1.20606531173443	1.04419341245728	1.2981910103037	1.19563258550506	1.06687086859881	1.05599248002206	1.16417722233672
"SUCLG2"	1.41612990197422	1.08003620748532	1.25406118737479	1.12846853151883	1.15840585559942	1.28126101512867	1.23397670144483	1.28869773605573
"STARD5"	1.01875136121762	1.00263189444058	1.03322383099053	1	1.00214725382562	1.03512793573272	1.01881503832228	1.00632395380657
"CSDC2"	1	1.00384558368795	1	1.05221763352791	1.00456048252681	1	1	1.01690880487195
"RCAN2"	1.01875136121762	1.01996663988604	1	1.65402185366412	1.03834574765539	1	1	1.0043022073917
"IL16"	1.28423315635868	1.00040510628282	1.16170892444281	1	1.0059000566314	1.17073623011007	1.0374774866045	1.00151936012914
