""	"Myeloid"	"Stroma"	"Tumor"
"NCS1"	1.22585174096959	1.11269686498907	1.2338109584788
"NCSTN"	1.93253933849571	2.07075202166162	1.94693632606407
"NDC80"	1.0026082492759	1.00364874612055	1.04783594361866
"NDE1"	1.23869898573746	1.54241889359222	1.16258759415807
"NDEL1"	1.49935037234377	1.78663125866916	1.48275599155718
"NDFIP1"	2.03738983700623	1.94730372945673	2.08968905331276
"NDFIP2"	1.36804341864761	1.29773058255995	1.46653477918988
"NDN"	1.2035273510436	1.14112034615935	1.38277807898187
"NDNF"	1.00982159969488	1.00072691527535	1.05150088606793
"NDNL2"	1.11132137695183	1.06744323199956	1.10576751124597
"NDOR1"	1.18828400225723	1.1827785305564	1.20375856933958
"NDP"	1.11746243886782	1.11188239974224	1.04482878443507
"NDRG1"	1.21408857542833	1.58920731148014	1.27805190643237
"NDRG2"	2.55377244748558	2.28504988055258	2.74599770586035
"NDRG3"	1.96464315652434	1.76435928462864	2.05350456605724
"NDRG4"	1.63382498224661	1.09336531757562	1.93864703119202
"NDST1"	1.47417733613039	1.52740618351711	1.51329881165639
"NDST2"	1.28148591070299	1.44702109107667	1.28032955618289
"NDST3"	1.0493744429951	1.02567659557224	1.06401659546265
"NDST4"	1.09732542194243	1.01732168511887	1.2617214328719
"NDUFA1"	2.47764264288799	2.43551586043755	2.15670874701942
"NDUFA10"	1.84219991909284	1.90337829590091	1.87040545396451
"NDUFA11"	2.35652222074196	2.29558308090134	2.33775075467218
"NDUFA12"	1.71003905526208	1.7898799228011	1.87488894996999
"NDUFA13"	2.65668166218115	2.57596521838857	2.55119542888865
"NDUFA2"	1.70311487946291	1.82671499384094	1.65152327332491
"NDUFA3"	1.71411040086179	1.84285765406624	1.56153150942429
"NDUFA4"	2.47882111646073	2.29621840943106	2.43611360138136
"NDUFA4L2"	1.01657146611739	1.02551908596077	1.03357095650976
"NDUFA5"	2.22565790664433	1.89040980233835	2.37268966917901
"NDUFA6"	1.81884986930773	1.71775739453154	1.88462204838927
"NDUFA7"	1.60227575841436	1.49661988281855	1.75456577250314
"NDUFA8"	1.78221043745747	1.62552020568283	1.76646368432302
"NDUFA9"	1.89509693469904	1.84410755818033	2.04287877975311
"NDUFAB1"	2.05209887306651	1.85541136487109	2.1251994479544
"NDUFAF1"	1.35827484969971	1.35632082099835	1.41816123447734
"NDUFAF2"	1.53077633904627	1.32430623592018	1.45111743156269
"NDUFAF3"	1.8649290381963	2.21103962112363	1.821803508637
"NDUFAF4"	1.3073598886966	1.17505358925417	1.31724162802457
"NDUFAF4P1"	1.06155318602245	1.02945519590514	1.0592677210333
"NDUFAF5"	1.25803738616058	1.17977285270494	1.2807155206652
"NDUFAF6"	1.23185161961232	1.19172204345451	1.28588329461327
"NDUFAF7"	1.40956171902039	1.3274913343338	1.39049281031073
"NDUFB1"	1.56114200926034	1.5710236436697	1.50083437214846
"NDUFB10"	2.22877059162103	2.07346840232576	2.20366548995433
"NDUFB11"	2.09182166555517	1.85797830305333	2.05677056524028
"NDUFB2"	2.28081660315599	2.26407854545657	2.24578244275911
"NDUFB2-AS1"	1.05892345029473	1.05588351383559	1.06011299941421
"NDUFB3"	1.90928028458354	1.87882094397913	1.80074014211993
"NDUFB4"	1.97924279104853	2.06316888532403	1.96050220110183
"NDUFB5"	2.10698904369232	2.04985153390554	1.97929336739159
