"SampleID"	"PatientID"	"CellType"	"SeuratCluster"
"MGH64.P16.C12_Tumor_3"	"MGH64.P16.C12"	"Tumor"	"3"
"MGH64.P16.D01_Tumor_3"	"MGH64.P16.D01"	"Tumor"	"3"
"MGH64.P16.D02_Tumor_7"	"MGH64.P16.D02"	"Tumor"	"7"
"MGH64.P16.D06_Tumor_3"	"MGH64.P16.D06"	"Tumor"	"3"
"MGH64.P16.D07_Tumor_3"	"MGH64.P16.D07"	"Tumor"	"3"
"MGH64.P16.D08_Tumor_3"	"MGH64.P16.D08"	"Tumor"	"3"
"MGH64.P16.D09_Tumor_5"	"MGH64.P16.D09"	"Tumor"	"5"
"MGH64.P16.D10_Tumor_3"	"MGH64.P16.D10"	"Tumor"	"3"
"MGH64.P16.D11_Tumor_3"	"MGH64.P16.D11"	"Tumor"	"3"
"MGH64.P16.D12_Tumor_3"	"MGH64.P16.D12"	"Tumor"	"3"
"MGH64.P16.E01_Stroma_13"	"MGH64.P16.E01"	"Stroma"	"13"
"MGH64.P16.E03_Tumor_3"	"MGH64.P16.E03"	"Tumor"	"3"
"MGH64.P16.E04_Stroma_13"	"MGH64.P16.E04"	"Stroma"	"13"
"MGH64.P16.E05_Stroma_13"	"MGH64.P16.E05"	"Stroma"	"13"
"MGH64.P16.E06_Tumor_3"	"MGH64.P16.E06"	"Tumor"	"3"
"MGH64.P16.E07_Tumor_3"	"MGH64.P16.E07"	"Tumor"	"3"
"MGH64.P16.E08_Tumor_7"	"MGH64.P16.E08"	"Tumor"	"7"
"MGH64.P16.E09_Tumor_3"	"MGH64.P16.E09"	"Tumor"	"3"
"MGH64.P16.E10_Tumor_3"	"MGH64.P16.E10"	"Tumor"	"3"
"MGH64.P16.F01_Tumor_3"	"MGH64.P16.F01"	"Tumor"	"3"
"MGH64.P16.F02_Tumor_3"	"MGH64.P16.F02"	"Tumor"	"3"
"MGH64.P16.F03_Tumor_3"	"MGH64.P16.F03"	"Tumor"	"3"
"MGH64.P16.F04_Tumor_3"	"MGH64.P16.F04"	"Tumor"	"3"
"MGH64.P16.F05_Tumor_3"	"MGH64.P16.F05"	"Tumor"	"3"
"MGH64.P16.F06_Tumor_3"	"MGH64.P16.F06"	"Tumor"	"3"
"MGH64.P16.F07_Tumor_3"	"MGH64.P16.F07"	"Tumor"	"3"
"MGH64.P16.F09_Tumor_3"	"MGH64.P16.F09"	"Tumor"	"3"
"MGH64.P16.F11_Tumor_3"	"MGH64.P16.F11"	"Tumor"	"3"
"MGH64.P16.G02_Tumor_3"	"MGH64.P16.G02"	"Tumor"	"3"
"MGH64.P16.G03_Tumor_3"	"MGH64.P16.G03"	"Tumor"	"3"
"MGH64.P16.G04_Tumor_3"	"MGH64.P16.G04"	"Tumor"	"3"
"MGH64.P16.G05_Tumor_3"	"MGH64.P16.G05"	"Tumor"	"3"
"MGH64.P16.G07_Stroma_13"	"MGH64.P16.G07"	"Stroma"	"13"
"MGH64.P16.G08_Tumor_3"	"MGH64.P16.G08"	"Tumor"	"3"
"MGH64.P16.G10_Tumor_3"	"MGH64.P16.G10"	"Tumor"	"3"
"MGH64.P16.H01_Tumor_3"	"MGH64.P16.H01"	"Tumor"	"3"
"MGH64.P16.H03_Tumor_3"	"MGH64.P16.H03"	"Tumor"	"3"
